,0
0,10
1,10 min
2,10 minute
3,10 minute walk
4,10 minutes
5,100
6,11
7,12
8,15
9,15 minutes
10,20
11,20 minutes
12,24
13,25
14,30
15,30 minutes
16,40
17,5th
18,aber
19,able
20,absolutely
21,ac
22,access
23,access subway
24,accessible
25,accommodate
26,accommodated
27,accommodating
28,accommodation
29,accommodations
30,accueil
31,accurate
32,actually
33,added
34,adorable
35,adults
36,advertised
37,advice
38,affordable
39,agreable
40,air
41,air bnb
42,air conditioning
43,airbnb
44,airbnb experience
45,airport
46,al
47,alex
48,alles
49,allowed
50,amable
51,amazing
52,amazing host
53,amazing location
54,amenities
55,amy
56,andrew
57,anfitrion
58,anna
59,answer
60,answer questions
61,answered
62,answered questions
63,anthony
64,anytime
65,apartamento
66,apartment
67,apartment beautiful
68,apartment clean
69,apartment clean comfortable
70,apartment close
71,apartment comfortable
72,apartment exactly
73,apartment good
74,apartment great
75,apartment great location
76,apartment just
77,apartment located
78,apartment location
79,apartment lovely
80,apartment nice
81,apartment perfect
82,apartment really
83,apartment spacious
84,apartment super
85,apartments
86,appartamento
87,appartement
88,appartement est
89,appartment
90,appointed
91,appreciate
92,appreciated
93,apt
94,area
95,area great
96,areas
97,arrival
98,arrival automated
99,arrival automated posting
100,arrive
101,arrived
102,arrivee
103,arriving
104,art
105,ask
106,asked
107,astoria
108,atmosphere
109,attention
110,attentive
111,attractions
112,au
113,auch
114,auf
115,automated
116,automated posting
117,aux
118,available
119,ave
120,avec
121,avenue
122,avons
123,avons passe
124,aware
125,away
126,away home
127,away subway
128,awesome
129,awesome host
130,backyard
131,bad
132,bags
133,balcony
134,bar
135,barrio
136,bars
137,bars restaurants
138,base
139,basement
140,basic
141,bath
142,bathroom
143,bathroom clean
144,bathrooms
145,beat
146,beaucoup
147,beautiful
148,beautiful apartment
149,beautifully
150,bed
151,bed comfortable
152,bed comfy
153,bed super
154,bedford
155,bedroom
156,bedrooms
157,beds
158,beds comfortable
159,bei
160,ben
161,best
162,best airbnb
163,better
164,bien
165,bien situe
166,big
167,bigger
168,bit
169,block
170,block away
171,blocks
172,blocks away
173,blocks subway
174,bnb
175,bon
176,bonus
177,book
178,booked
179,booking
180,books
181,bother
182,bottle
183,boyfriend
184,breakfast
185,breeze
186,brian
187,bridge
188,bright
189,bring
190,broadway
191,brooklyn
192,brownstone
193,budget
194,buena
195,building
196,bus
197,buses
198,bushwick
199,business
200,busy
201,cafe
202,cafes
203,cafes restaurants
204,called
205,calm
206,calme
207,cama
208,came
209,canceled
210,canceled reservation
211,canceled reservation days
212,car
213,care
214,caring
215,casa
216,case
217,cat
218,cats
219,ce
220,center
221,central
222,central park
223,centrally
224,centrally located
225,centre
226,cerca
227,certainly
228,cet
229,chambre
230,chance
231,change
232,charming
233,chat
234,che
235,cheap
236,check
237,check check
238,check easy
239,check process
240,check time
241,checked
242,checking
243,checkout
244,chelsea
245,chez
246,children
247,chinatown
248,choice
249,choose
250,chris
251,city
252,clean
253,clean apartment
254,clean bed
255,clean comfortable
256,clean cozy
257,clean great
258,clean nice
259,clean place
260,clean quiet
261,clean room
262,clean spacious
263,clean tidy
264,cleaned
265,cleaning
266,cleanliness
267,clear
268,close
269,close metro
270,close public
271,close subway
272,close subway station
273,close train
274,closet
275,clothes
276,coffee
277,coffee shops
278,cold
279,com
280,come
281,comfort
282,comfortable
283,comfortable apartment
284,comfortable bed
285,comfortable clean
286,comfortable great
287,comfortable place
288,comfortable room
289,comfortable stay
290,comfortably
291,comfy
292,comfy bed
293,coming
294,comme
295,common
296,communicate
297,communicated
298,communicating
299,communication
300,communicative
301,commute
302,como
303,comodo
304,completely
305,conditioner
306,conditioning
307,confortable
308,connection
309,consider
310,considerate
311,considering
312,contact
313,convenience
314,convenient
315,convenient location
316,conveniently
317,conveniently located
318,cook
319,cooking
320,cool
321,corner
322,cosy
323,couch
324,couldn
325,couple
326,couple blocks
327,couples
328,course
329,cozy
330,cozy clean
331,crash
332,cuisine
333,cute
334,da
335,daniel
336,dans
337,das
338,daughter
339,david
340,day
341,days
342,days arrival
343,days arrival automated
344,deal
345,decent
346,decor
347,decorated
348,definitely
349,definitely book
350,definitely come
351,definitely recommend
352,definitely recommend place
353,definitely recommend staying
354,definitely stay
355,del
356,del metro
357,delayed
358,deli
359,delicious
360,den
361,departamento
362,departure
363,der
364,des
365,described
366,description
367,despite
368,detailed
369,details
370,deux
371,di
372,did
373,didn
374,didn meet
375,die
376,die wohnung
377,different
378,difficult
379,dining
380,dinner
381,directions
382,directly
383,dirty
384,disponible
385,distance
386,district
387,does
388,doesn
389,dog
390,doing
391,don
392,door
393,dos
394,downstairs
395,downtown
396,drink
397,drinks
398,drop
399,dryer
400,du
401,du metro
402,earlier
403,early
404,earplugs
405,easily
406,easily accessible
407,east
408,east village
409,easy
410,easy access
411,easy check
412,easy communicate
413,easy going
414,easy reach
415,easy walk
416,eat
417,eating
418,een
419,ein
420,eine
421,el
422,el apartamento
423,el barrio
424,el departamento
425,elevator
426,elle
427,email
428,en
429,en el
430,en la
431,end
432,ended
433,enjoy
434,enjoyable
435,enjoyed
436,enjoyed stay
437,enjoyed staying
438,entire
439,entrance
440,equipped
441,er
442,era
443,eric
444,es
445,es muy
446,especially
447,est
448,est tres
449,esta
450,estadia
451,et
452,et tres
453,etait
454,ete
455,evening
456,exactly
457,exactly described
458,exactly like
459,excelente
460,excellent
461,excellent host
462,excellent location
463,expect
464,expectations
465,expected
466,experience
467,explore
468,exploring
469,express
470,extra
471,extremely
472,extremely clean
473,extremely helpful
474,fabulous
475,facilities
476,fact
477,fairly
478,fait
479,family
480,fan
481,fantastic
482,fantastic host
483,fantastic location
484,far
485,fast
486,favorite
487,feel
488,feel comfortable
489,feel home
490,feel like
491,feel like home
492,feel welcome
493,feeling
494,feels
495,felt
496,felt comfortable
497,felt home
498,felt like
499,felt like home
500,felt safe
501,ferry
502,filled
503,finding
504,fine
505,fit
506,flat
507,flexible
508,flexible check
509,flight
510,flights
511,floor
512,floors
513,food
514,forward
515,fotos
516,free
517,fresh
518,fridge
519,friend
520,friendly
521,friendly helpful
522,friendly host
523,friends
524,fue
525,fully
526,fun
527,functional
528,fur
529,furnished
530,furniture
531,future
532,garden
533,gave
534,gave great
535,gem
536,general
537,generous
538,gets
539,getting
540,girlfriend
541,given
542,gives
543,giving
544,glad
545,goes
546,going
547,good
548,good experience
549,good host
550,good location
551,good place
552,good restaurants
553,good stay
554,good time
555,good value
556,gorgeous
557,got
558,gracias
559,gracious
560,gracious host
561,grand
562,grande
563,great apartment
564,great area
565,great clean
566,great close
567,great communication
568,great experience
569,great food
570,great host
571,great hosts
572,great location
573,great location close
574,great location great
575,great neighborhood
576,great place
577,great place great
578,great place stay
579,great places
580,great restaurants
581,great room
582,great space
583,great spot
584,great stay
585,great time
586,great value
587,greeted
588,groceries
589,grocery
590,grocery store
591,grocery stores
592,group
593,guest
594,guests
595,gut
596,guy
597,guys
598,ha
599,haben
600,habitacion
601,hair
602,half
603,hand
604,handy
605,hang
606,happy
607,hard
608,harlem
609,hat
610,having
611,hay
612,head
613,hear
614,heart
615,heat
616,heater
617,heating
618,heights
619,help
620,helped
621,helpful
622,helpful host
623,hesitate
624,het
625,hidden
626,hidden airbnb
627,high
628,highly
629,highly recommend
630,highly recommend place
631,highly recommend staying
632,highly recommended
633,hip
634,home
635,home away
636,home away home
637,homey
638,hope
639,hospitable
640,hospitality
641,host apartment
642,host canceled
643,host canceled reservation
644,host easy
645,host friendly
646,host great
647,host helpful
648,host nice
649,host place
650,host really
651,host responsive
652,hostess
653,hosting
654,hosts
655,hot
656,hot water
657,hote
658,hotel
659,hour
660,hours
661,house
662,house clean
663,huge
664,husband
665,ich
666,ideal
667,il
668,il est
669,im
670,immediately
671,important
672,including
673,incredible
674,incredibly
675,info
676,information
677,inside
678,instructions
679,interesting
680,internet
681,inviting
682,island
683,isn
684,issue
685,issues
686,ist
687,items
688,james
689,jason
690,je
691,je recommande
692,jessica
693,jfk
694,job
695,joe
696,john
697,just
698,just blocks
699,just corner
700,just described
701,just like
702,just minutes
703,just perfect
704,kept
705,kevin
706,key
707,keys
708,kids
709,kind
710,kind helpful
711,kitchen
712,kitchen bathroom
713,knew
714,know
715,la
716,la casa
717,la chambre
718,la habitacion
719,la ubicacion
720,lage
721,large
722,las
723,late
724,late night
725,later
726,laundry
727,le
728,le logement
729,le quartier
730,le quartier est
731,leave
732,leaving
733,left
734,les
735,let
736,level
737,life
738,light
739,like
740,like home
741,like pictures
742,liked
743,limpio
744,line
745,linens
746,lines
747,lisa
748,list
749,listing
750,lit
751,literally
752,little
753,little bit
754,live
755,lived
756,lively
757,lives
758,living
759,living room
760,ll
761,lo
762,lo que
763,local
764,located
765,located close
766,located near
767,location
768,location amazing
769,location apartment
770,location clean
771,location close
772,location close subway
773,location convenient
774,location easy
775,location excellent
776,location good
777,location great
778,location just
779,location near
780,location nice
781,location perfect
782,location really
783,lock
784,loft
785,logement
786,long
787,long day
788,longer
789,look
790,look forward
791,looked
792,looking
793,looking place
794,looks
795,los
796,lot
797,lots
798,lots great
799,lots restaurants
800,loud
801,love
802,love stay
803,loved
804,loved stay
805,loved staying
806,lovely
807,lovely apartment
808,lower
809,lucky
810,lugar
811,luggage
812,ma
813,machine
814,main
815,maintained
816,mais
817,major
818,make
819,make feel
820,make stay
821,make sure
822,makes
823,making
824,man
825,manhattan
826,manhatten
827,maria
828,mark
829,market
830,markets
831,mas
832,matt
833,mattress
834,maybe
835,meet
836,meeting
837,meme
838,mention
839,mentioned
840,merci
841,message
842,messages
843,met
844,metro
845,metro station
846,mi
847,michael
848,michelle
849,microwave
850,middle
851,midtown
852,mike
853,min
854,min walk
855,mind
856,mins
857,minute
858,minute walk
859,minutes
860,minutes away
861,minutes walk
862,minutos
863,miss
864,mit
865,modern
866,molto
867,mom
868,moment
869,money
870,month
871,months
872,morning
873,muito
874,multiple
875,museum
876,music
877,muy
878,muy bien
879,muy buena
880,natural
881,ne
882,near
883,near subway
884,nearby
885,nearest
886,neat
887,necessary
888,need
889,needed
890,needs
891,neighborhood
892,neighborhood great
893,neighborhood nice
894,neighborhood quiet
895,neighborhood safe
896,neighbors
897,neighbourhood
898,netflix
899,new
900,new york
901,new york city
902,nice
903,nice apartment
904,nice clean
905,nice helpful
906,nice host
907,nice location
908,nice neighborhood
909,nice place
910,nice quiet
911,nice room
912,nice stay
913,nicely
914,nicely decorated
915,nicht
916,night
917,nights
918,noise
919,noisy
920,non
921,nos
922,note
923,notre
924,notre sejour
925,nous
926,nous avons
927,nous avons passe
928,nuestra
929,number
930,ny
931,nyc
932,nyc apartment
933,nyc great
934,offer
935,offered
936,offers
937,og
938,ok
939,okay
940,old
941,open
942,option
943,options
944,organized
945,ou
946,outside
947,outstanding
948,overall
949,overall great
950,owner
951,par
952,para
953,parents
954,parfait
955,park
956,park slope
957,parking
958,parts
959,party
960,pas
961,passe
962,patio
963,paul
964,pay
965,peaceful
966,people
967,perfect
968,perfect host
969,perfect location
970,perfect place
971,perfect stay
972,perfectly
973,perfectly located
974,pero
975,person
976,personal
977,petit
978,peu
979,phone
980,photos
981,pick
982,picture
983,pictured
984,pictures
985,pied
986,pillows
987,pizza
988,place amazing
989,place apartment
990,place awesome
991,place clean
992,place close
993,place comfortable
994,place definitely
995,place exactly
996,place good
997,place great
998,place great location
999,place just
1000,place located
1001,place location
1002,place nice
1003,place perfect
1004,place really
1005,place stay
1006,place super
1007,places
1008,places eat
1009,plan
1010,planning
1011,pleasant
1012,pleasant stay
1013,pleased
1014,pleasure
1015,plenty
1016,plenty room
1017,plenty space
1018,plus
1019,point
1020,polite
1021,por
1022,positive
1023,possible
1024,posting
1025,pour
1026,prepared
1027,pressure
1028,pretty
1029,price
1030,prior
1031,privacy
1032,private
1033,private bathroom
1034,probably
1035,problem
1036,problems
1037,process
1038,proche
1039,prompt
1040,promptly
1041,property
1042,propre
1043,propre et
1044,prospect
1045,prospect park
1046,provide
1047,provided
1048,provides
1049,providing
1050,proximite
1051,proximity
1052,public
1053,public transport
1054,public transportation
1055,qu
1056,quality
1057,quartier
1058,quartier est
1059,que
1060,queens
1061,question
1062,questions
1063,qui
1064,quick
1065,quick respond
1066,quickly
1067,quiet
1068,quiet neighborhood
1069,quiet street
1070,quite
1071,reach
1072,ready
1073,real
1074,really
1075,really appreciated
1076,really clean
1077,really close
1078,really comfortable
1079,really easy
1080,really enjoyed
1081,really enjoyed stay
1082,really good
1083,really great
1084,really helpful
1085,really nice
1086,reasonable
1087,recomendable
1088,recommande
1089,recommend
1090,recommend apartment
1091,recommend great
1092,recommend place
1093,recommend stay
1094,recommend staying
1095,recommendations
1096,recommended
1097,relax
1098,relaxed
1099,relaxing
1100,renovated
1101,rent
1102,request
1103,requests
1104,reservation
1105,reservation days
1106,reservation days arrival
1107,residential
1108,respectful
1109,respond
1110,responded
1111,responded quickly
1112,responding
1113,response
1114,responses
1115,responsive
1116,responsive helpful
1117,rest
1118,restaurant
1119,restaurants
1120,restaurants bars
1121,restaurants nearby
1122,restaurants shops
1123,return
1124,reviews
1125,ride
1126,right
1127,right away
1128,right corner
1129,right home
1130,river
1131,road
1132,robert
1133,roof
1134,rooftop
1135,room
1136,room bathroom
1137,room clean
1138,room comfortable
1139,room exactly
1140,room great
1141,room nice
1142,room small
1143,room spacious
1144,roommate
1145,roommates
1146,rooms
1147,roomy
1148,run
1149,running
1150,sa
1151,safe
1152,safe neighborhood
1153,said
1154,salle
1155,sam
1156,sans
1157,sarah
1158,sauber
1159,saw
1160,say
1161,schedule
1162,se
1163,second
1164,secure
1165,sehr
1166,sejour
1167,sent
1168,separate
1169,service
1170,set
1171,shampoo
1172,share
1173,shared
1174,sharing
1175,sheets
1176,shop
1177,shopping
1178,shops
1179,shops restaurants
1180,short
1181,short stay
1182,short walk
1183,showed
1184,shower
1185,shown
1186,si
1187,sich
1188,siempre
1189,sightseeing
1190,simple
1191,simply
1192,sin
1193,sind
1194,single
1195,sister
1196,situated
1197,situation
1198,situe
1199,size
1200,sized
1201,sleep
1202,sleeper
1203,sleeping
1204,slept
1205,slope
1206,small
1207,smooth
1208,smoothly
1209,snacks
1210,soap
1211,sofa
1212,soho
1213,solo
1214,son
1215,sont
1216,soon
1217,space
1218,space clean
1219,space great
1220,spacious
1221,spacious clean
1222,spacious comfortable
1223,special
1224,spend
1225,spend time
1226,spent
1227,spot
1228,spotless
1229,spots
1230,square
1231,st
1232,stairs
1233,stars
1234,start
1235,state
1236,station
1237,stations
1238,stay apartment
1239,stay brooklyn
1240,stay comfortable
1241,stay definitely
1242,stay great
1243,stay highly
1244,stay location
1245,stay new
1246,stay new york
1247,stay nice
1248,stay ny
1249,stay nyc
1250,stay place
1251,stay really
1252,stay recommend
1253,stay room
1254,stay thank
1255,stay thanks
1256,stay time
1257,stayed
1258,stayed nights
1259,staying
1260,staying place
1261,steps
1262,steps away
1263,stocked
1264,stop
1265,stops
1266,store
1267,stores
1268,straight
1269,street
1270,street noise
1271,street parking
1272,streets
1273,strongly
1274,studio
1275,stuff
1276,style
1277,stylish
1278,su
1279,subway
1280,subway close
1281,subway line
1282,subway lines
1283,subway station
1284,subway stations
1285,subway stop
1286,subway stops
1287,subways
1288,suggest
1289,suggestions
1290,summer
1291,sunny
1292,super
1293,super clean
1294,super close
1295,super comfortable
1296,super convenient
1297,super easy
1298,super friendly
1299,super helpful
1300,super nice
1301,superb
1302,supermarket
1303,supermarkets
1304,sur
1305,sure
1306,sure needed
1307,surrounding
1308,sweet
1309,sympa
1310,table
1311,taken
1312,takes
1313,taking
1314,tal
1315,talk
1316,taxi
1317,te
1318,tea
1319,tell
1320,terrace
1321,terrific
1322,text
1323,thank
1324,thanks
1325,thanks great
1326,thing
1327,things
1328,think
1329,thoroughly
1330,thought
1331,thoughtful
1332,tidy
1333,tiene
1334,time
1335,time apartment
1336,time new
1337,time new york
1338,time nyc
1339,time square
1340,time staying
1341,times
1342,times square
1343,tiny
1344,tips
1345,todo
1346,todo lo
1347,toilet
1348,toiletries
1349,told
1350,tom
1351,tons
1352,took
1353,totally
1354,touch
1355,touches
1356,tour
1357,tourist
1358,tout
1359,towels
1360,town
1361,traffic
1362,train
1363,train station
1364,trains
1365,tranquilo
1366,transit
1367,transport
1368,transportation
1369,travel
1370,travelers
1371,traveling
1372,travelling
1373,tres
1374,tres agreable
1375,tres bien
1376,tres bien situe
1377,tres bon
1378,tres propre
1379,tried
1380,trip
1381,trip new
1382,trip new york
1383,trip nyc
1384,trouble
1385,true
1386,truly
1387,try
1388,tv
1389,uber
1390,ubicacion
1391,um
1392,una
1393,uncomfortable
1394,und
1395,understanding
1396,une
1397,unfortunately
1398,union
1399,unique
1400,unit
1401,uns
1402,unterkunft
1403,upper
1404,upstairs
1405,use
1406,used
1407,useful
1408,using
1409,using airbnb
1410,vacation
1411,value
1412,value money
1413,van
1414,var
1415,ve
1416,ve stayed
1417,vi
1418,vibe
1419,vibrant
1420,view
1421,views
1422,village
1423,visit
1424,visit new
1425,visit new york
1426,visit nyc
1427,visiting
1428,visiting nyc
1429,von
1430,vous
1431,vraiment
1432,wait
1433,waiting
1434,walk
1435,walk away
1436,walk subway
1437,walk train
1438,walkable
1439,walked
1440,walking
1441,walking distance
1442,wall
1443,walls
1444,want
1445,wanted
1446,wants
1447,war
1448,waren
1449,warm
1450,washer
1451,wasn
1452,water
1453,way
1454,weather
1455,website
1456,website hidden
1457,website hidden airbnb
1458,week
1459,weekend
1460,weeks
1461,welcome
1462,welcomed
1463,welcoming
1464,went
1465,went way
1466,weren
1467,west
1468,west village
1469,wife
1470,wifi
1471,williamsburg
1472,willing
1473,window
1474,windows
1475,wine
1476,wir
1477,wish
1478,wohnung
1479,won
1480,wonderful
1481,wonderful host
1482,wonderful place
1483,wonderful stay
1484,wonderful time
1485,work
1486,worked
1487,working
1488,works
1489,world
1490,worth
1491,wouldn
1492,year
1493,years
1494,york
1495,york city
1496,young
1497,zimmer
1498,zona
1499,zu
